id,Title,Text,Keywords,Description,Publish_date,URL,Source,type,Lang
970132686371417,"Outdoor em Portugal com homenagem a Bolsonaro não é recente, mas de 2018 | Aos Fatos", ,"Jair Bolsonaro,  Portugal",Painel foi encomendado por partido de extrema-direita para celebrar vitória eleitoral do brasileiro,"
         15 de
        outubro de
        2021,
        16h22
        
    ",aosfatos.org/noticias/outdoor-em-portugal-com-homenagem-a-bolsonaro-nao-e-recente-mas-de-2018/,Aos Fatos,distorcido,pt-BR
970132686371417,É falso que Suzane Von Richthofen será candidata a vereadora pelo PT | Aos Fatos,,"Eleições,  Eleições 2022,  Justiça,  PT,  Suzane von Richthofen",Ela não é filiada ao partido e condenação criminal a impede de disputar eleições,"
         15 de
        outubro de
        2021,
        16h03
        
    ",aosfatos.org/noticias/e-falso-que-suzane-von-richthofen-sera-candidata-a-vereadora-pelo-pt/,Aos Fatos,falso,pt-BR
970132686371417,Banco do Vaticano não é acionista da empresa de armas Beretta | Aos Fatos,,"armas,  Banco do Vaticano,  Beretta,  fábrica de armas,  IOR,  Itália,  Vaticano",Companhia italiana é controlada pela mesma família desde o século XVI,"
         15 de
        outubro de
        2021,
        13h18
        
    ",aosfatos.org/noticias/banco-do-vaticano-nao-e-acionista-da-empresa-de-armas-beretta/,Aos Fatos,falso,pt-BR
970132686371417,É falso que União Europeia substituirá vacinas contra Covid-19 por ivermectina | Aos Fatos,"UNIÃO EUROPEIA SUBSTITUIRÁ VACINAS POR MEDICAÇÕES E UMA DELAS É IVERMECTINA. Boas notícias para quem não gosta da vacina Covid-19. A PARTIR DE 20/10/2021, COVID TRIAL E PROTEÇÃO DE VACINAS PARA COVID 19 SERÃO CANCELADOS TODOS NA EUROPA… Todas as vacinas não serão mais aprovadas a partir de 20 de outubro de 2021 (...).","Coronavírus,  Europa,  ivermectina,  União Europeia,  Vacina",Bloco desmente alegação e diz que imunização prossegue normalmente,"
         14 de
        outubro de
        2021,
        17h17
        
    ",aosfatos.org/noticias/e-falso-que-uniao-europeia-substituira-vacinas-contra-covid-19-por-ivermectina/,Aos Fatos,falso,pt-BR
970132686371417,Mulher que usou camisa contra Bolsonaro ao ser vacinada não morreu de Covid-19 | Aos Fatos,,"Coronavírus,  Covid-19,  Desinformação,  Vacina",Posts associam sergipana que aparece em foto viral a caso de professora de SP,"
         14 de
        outubro de
        2021,
        16h26
        
    ",aosfatos.org/noticias/mulher-que-usou-camisa-contra-bolsonaro-ao-ser-vacinada-nao-morreu-de-covid-19/,Aos Fatos,falso,pt-BR
970132686371417,Estudo não concluiu que segunda dose da Pfizer reduz imunidade de recuperados da Covid-19 | Aos Fatos,Segunda dose da vacina BNT162B2 (Pfizer) resulta em uma redução da imunidade celular em indivíduos recuperados de Covid-19,"Coronavírus,  Covid-19,  Desinformação,  Pfizer,  Vacina",Pesquisa sugere que curados teriam resposta imunológica maior já na primeira aplicação da vacina; fabricante e Anvisa indicam ciclo completo para todos,"
         14 de
        outubro de
        2021,
        15h46
        
    ",aosfatos.org/noticias/estudo-nao-concluiu-que-segunda-dose-da-pfizer-reduz-imunidade-de-recuperados-da-covid-19/,Aos Fatos,falso,pt-BR
970132686371417,Jorge Paulo Lemann não é dono de empresas de absorventes | Aos Fatos,Você sabia??? O empresário Lemann apoiador da deputada Tábata Amaral que criou o projeto dos absorventes é um dos donos das 2 fábricas de absorventes no Brasil???,"Congresso,  Jair Bolsonaro,  Jorge Paulo Lemann,  Mulheres,  PSB,  Tábata Amaral",Fundo do empresário não tem companhias do ramo e assessoria desmentiu alegação,"
         14 de
        outubro de
        2021,
        13h23
        
    ",aosfatos.org/noticias/jorge-paulo-lemann-nao-e-dono-de-empresas-de-absorventes/,Aos Fatos,falso,pt-BR
970132686371417,Não é verdade que vídeo mostra ferrovia no Pará concluída no governo Bolsonaro | Aos Fatos,,"ferrovia,  Jair Bolsonaro,  obras","Obra que aparece na filmagem fica no Maranhão e foi finalizada em 2018, ainda na gestão Temer","
         8 de
        outubro de
        2021,
        19h11
        
    ",aosfatos.org/noticias/nao-e-verdade-que-video-mostra-ferrovia-no-para-concluida-no-governo-bolsonaro/,Aos Fatos,falso,pt-BR
970132686371417,É falso que PT doou R$ 14 bilhões do BNDES para governo de Angola | Aos Fatos,Bandidos. 14 bilhões do seu dinheiro foi dado a Angola. O país que tem o mesmo presidente por 37 anos. Segundo o BNDES foi o que mais recebeu o seu dinheiro que com tanto suor conquistou,"Angola,  BNDES,  Desinformação,  Dilma,  Dilma Rousseff,  Lula","Nas gestões petistas, banco financiou projetos de empresas brasileiras no país africano e empréstimos já foram quitados","
         8 de
        outubro de
        2021,
        17h53
        
    ",aosfatos.org/noticias/e-falso-que-pt-doou-r-14-bilhoes-do-bndes-para-governo-de-angola/,Aos Fatos,falso,pt-BR
970132686371417,"Katy Perry, Snoop Dogg e Will.i.am não declararam apoio a Bolsonaro | Aos Fatos",Katy Perry pede para o povo brasileiro continuar com o Bolsonaro!,"Black Eyed Peas,  Jair Bolsonaro,  Katy Perry,  Snoop Dogg",Alegação enganosa circula em posts com vídeos de shows antigos dos artistas,"
         8 de
        outubro de
        2021,
        16h54
        
    ",aosfatos.org/noticias/katy-perry-snoop-dogg-e-william-nao-declararam-apoio-a-bolsonaro/,Aos Fatos,falso,pt-BR
970132686371417,É falso que polícia espancou mulher por entrar em shopping na França sem 'passaporte da vacina' | Aos Fatos,#Revoltante A polícia de Paris espancou uma mulher que tentou fazer compras no Shopping sem passaporte de vacina.,"Coronavírus,  Covid-19,  França,  passaporte da vacina,  Vacina",Centro comercial onde vídeo foi gravado não exige comprovante na entrada,"
         8 de
        outubro de
        2021,
        15h59
        
    ",aosfatos.org/noticias/e-falso-que-policia-espancou-mulher-por-entrar-em-shopping-na-franca-sem-passaporte-da-vacina/,Aos Fatos,falso,pt-BR
